cited_id,citing_id
3493,369
1898,372
1952,372
3246,372
708,372
2050,372
2771,372
2001,372
3036,372
2176,372
3775,372
1545,372
3099,372
2393,373
3050,373
2797,374
3243,375
3202,375
3671,375
3598,376
1816,377
3328,377
1974,377
1853,377
1892,377
1594,378
2913,379
2056,382
2553,382
1811,382
2298,382
3085,382
2360,382
1510,383
811,384
1611,384
820,384
3139,384
1092,384
3902,384
2752,384
2996,384
2438,384
645,384
1809,384
1917,384
1663,384
1885,384
1725,388
2940,390
3484,392
1869,392
2343,392
3330,393
3455,393
1974,393
3238,393
3070,393
3445,394
3673,394
3369,394
1721,395
3210,396
2001,396
1952,399
725,399
3837,401
3672,402
3699,405
3251,405
3618,405
2408,405
1656,407
2969,407
2443,407
2520,407
3825,407
3417,407
3953,407
2823,407
2364,407
2692,407
2849,407
1578,407
3704,407
2797,408
2516,408
2688,408
3024,408
3013,408
3459,408
2684,408
3166,410
2797,412
3001,412
2206,415
2150,417
3931,418
3011,419
3887,419
3598,419
3704,419
3246,419
2050,419
3036,419
2001,419
134,419
2148,419
3429,419
1846,423
2709,423
1504,423
2685,423
3841,423
3202,424
2479,426
3742,428
3353,432
1743,432
3484,432
1898,433
3956,433
2535,433
2050,433
2924,433
3379,433
3429,433
3330,436
3497,438
2751,438
1899,438
1656,439
3455,439
2933,439
3011,441
2535,441
3523,441
3429,441
3956,441
2680,441
1201,441
3060,441
3368,441
2678,441
1683,441
3676,447
3459,448
2646,448
2808,448
2924,448
3429,448
1962,448
2050,448
1952,448
3089,451
3107,451
3076,451
3923,451
3668,451
3724,451
2912,451
1952,452
2312,452
2787,452
2148,452
2080,452
2176,452
2050,452
1747,452
3246,452
2494,453
2522,453
2958,453
1731,453
2056,453
2719,453
2735,453
3676,453
2684,453
1546,453
1569,453
2343,453
2298,453
2118,453
2855,453
2206,453
1568,453
1743,453
2376,454
2551,454
3464,455
3968,455
2507,459
3099,459
1617,459
2709,463
2685,463
1614,464
2393,464
3671,464
1846,465
1845,465
675,465
2969,465
1663,465
3287,466
3210,466
3704,466
3335,466
2848,467
3585,468
1683,471
173,474
3618,476
3745,476
3615,476
2467,477
3353,477
2360,477
1743,477
1639,477
2719,477
2067,477
1603,477
2873,477
3001,478
3179,478
3968,478
3280,478
3847,478
3662,478
3782,480
2725,480
3523,480
2403,482
3397,483
3485,486
3982,486
2912,486
2453,486
2875,486
3464,486
3089,486
1656,487
1792,487
1849,487
1578,487
1885,487
3353,488
1557,488
2590,488
3484,488
2016,489
3984,489
1526,489
1979,489
1885,489
2808,492
419,492
3368,492
3062,492
3429,492
2843,493
2685,493
1505,493
3239,493
1193,496
3036,499
3704,499
2001,499
3210,499
466,499
3444,499
756,499
3001,504
3771,504
3847,504
3512,504
3062,504
2924,504
3444,504
3290,504
3948,504
3077,504
3036,504
3675,504
3098,504
3775,504
2685,507
2685,508
3455,508
3125,508
3871,508
3210,508
3572,509
3487,509
3956,509
2459,509
1962,509
1647,509
3523,509
2787,509
1504,511
2797,511
1936,511
1742,511
2656,512
152,514
3911,514
3050,516
2995,516
2717,517
3397,520
3856,520
3307,520
3666,520
3978,520
3585,520
3554,520
3760,520
3673,521
1603,523
2525,526
1922,526
2685,526
1504,526
3684,528
3599,528
2850,528
1570,528
3335,528
3210,528
3825,528
2757,528
2083,528
2969,528
528,529
1510,529
2757,529
2467,536
3330,539
2913,540
3053,540
2757,543
2534,543
2008,544
2650,544
3444,544
2001,544
1510,544
1846,544
1257,544
1573,544
3504,545
3676,545
2735,545
2464,545
1678,545
1568,545
2719,545
2056,545
2848,548
1747,552
3704,555
1678,560
3814,562
3871,563
1857,564
1931,565
2618,565
3259,565
1011,567
3443,572
2635,575
3290,575
3599,575
3009,576
2993,576
2137,576
2099,576
3307,576
2044,577
1522,577
1510,580
2383,580
1809,580
3429,580
2605,580
3673,581
3559,586
3455,587
3504,589
3588,589
2534,589
2656,589
3307,589
3397,589
2343,590
3061,590
2958,590
1950,591
